block_id,transaction_hash,index,time,value,value_usd,recipient,type,script_hex,is_from_coinbase,is_spendable
38138,e6caef99904043e63f64e0bc0f3e7a45b7cb8f2e874feadd45914febb863cbe5,0,2010-02-04 04:40:52,5000000000,0.5,1NAfaS3cp6jmhHdWFAM9YH5BXxKmWLatv,pubkey,4104e8e93599647e2aadb72ff7b20370e3c273444816b6c001a3dfd441c0f17f2fb72d7e691122f3570c5f65994674b9012b1c4175df39eedce1e87ea17db80e6fb5ac,1,1
38139,fb124aeaa2939e6ebb5833268060c331ab0d2d907a0da298bd4b8e3b905e6118,0,2010-02-04 05:07:39,5000000000,0.5,1Dzmg5ctWs62zj447eENVoHDPUU9ZzaBYF,pubkey,41048c7e3ef85247dc5ca7b143424e828ff89f1b038ec0cc1ca0811b667fa7905c306ca6c2d88d0adc57b64818ac21b4a6ff96e8057da7b6b0a25ce816ef1d2f1c8fac,1,1
38140,df8aa15807379b79ccf60a5037b1f099ca990d68425c7467ae2be3085063d397,0,2010-02-04 05:23:50,5000000000,0.5,1dCEBptBZTMc2iWGy33NnjDB2Rgptye5t,pubkey,41043755e176f3297f01d71de226eefd689c2120033281d8fd8f5545bdc3060a6910de2524ebad03993532ededd3ebd37e6438eca8116ba3a15a55793484bde89e4dac,1,1
38141,6191659327d0588f06411b8c4fe036be55252ebd843dd5002464504cf01230af,0,2010-02-04 05:25:19,5000000000,0.5,1HfT4swTYkaHtWwLrcGBgodsMz536rSzhR,pubkey,4104aa5ec1100890455dae47db154ad43984debd8dd0284661ed95440e56d0405cdbeb865a7bab0cc22f3c1053446e51302c085b254c83b598d426f1c660bb2cd505ac,1,1
38142,572f73d24ed68e6bbfcd3c3547f73162053845139ed5ab0683ba660c01fd10a1,0,2010-02-04 05:31:45,5000000000,0.5,1FYfiB8B6bsCiUZeeEB8CvLkDayNwfFijy,pubkey,4104984853c4f0dbf44d1655ec8755bfdaad391b4c4cf61a0fcf48bf527ea68a2189086a52019282e572a99da9302a80fdbd3a5797fa83c6c041a206594d8935a6ffac,1,1
38143,d887f8ea0cd993b8c8cd4141b90c4183302e4f433dfa5f8f2a1ae2d0637d4a21,0,2010-02-04 05:34:40,5000000000,0.5,1J7TovMKsuiDZn3uNXNXqte5BpTaw5fvE7,pubkey,410431f734380488c4ec6a749ba816ceaeac6c718dde133415b450404858dfe64ef1532d0f36936b24fbe2c03685ef02cd06e84f59923a74cc8e65168ceefdf44047ac,1,1
38144,999e97ee1999c29fc950f2d3def4d2af8de29ce52c700443ef872f6ad21a2b0d,0,2010-02-04 05:44:09,5000000000,0.5,1EbprpgRD9YFWzQKzfsoE4DrBDrqLh2pdu,pubkey,4104f26227e1d3acee11cc8d5e40690dc6fb7496cf11d6d9aa055f66c4ac9b51a6bee6cce8094b3dc17456966cab73ff8fd5aa95a2c6dbae5082a81865011b923fd4ac,1,1
38145,38ec5781e9b2374d83bbc6b8c502fa46cba0c62eefb80d95c64b57478aa62ea6,0,2010-02-04 05:39:04,5000000000,0.5,1JJVYSACAV8uE5YdRXfuZqXmucejsBDqyF,pubkey,4104bccfddb3b140be85dde3e38f80d3fbf41ba96566d03547a0529de5ad60b2f5e4e8e77a34a4c3f2ebee464aae2fed25dd00c26dbd316e6da841ad2d419d7cbd9cac,1,1
38146,443dd9ab9bc437512d9ff461e5557b0a02238346bf1eba42a6108230435ab313,0,2010-02-04 05:23:51,5000000000,0.5,1Kjx2jPSjaH6asG7CgpU6M6SRP2gWFAkTE,pubkey,41040d9855ea8bc5c49e69362041acbd98efe33956f33900aa8e7d9fcb33776cab5287ddd888f0601171b6200d1f4b0c10d48de09e789c33bfb032452f1d42c4b1b5ac,1,1
38147,31ef68bc50182949519e0c4e6f86f911d1c83e796b2346d8072f99a04f67ffab,0,2010-02-04 05:55:45,5000000000,0.5,1CCc3VhiM4DyLqqEsWHy5JJMQzdaqicVGS,pubkey,41047de8ca8745466840eace15bab92275336de4e254389ce2fd1fc580bfd44c16918f3b174229ee9855f018d2565ce62c140e90fa8996a8184f35e319e6f8df8e25ac,1,1
38148,3adfe21da701f781ca723ba9f600875d37f992b09568ba9124e4cb96e99a4a87,0,2010-02-04 05:58:35,5000000000,0.5,1JHRMWUrFnn9w6SfomiiT3kUQbRAADPZ9Q,pubkey,41045205d735ef0b1902ff01a4902211db4e9fad4d3f83f56e76f718b97ff5b0f9c20cbdb899bd4c776698b3626554d779da68ea2d4972a292c8826264dee2b2f434ac,1,1
38149,2d25da12db22e19268eebb4721f12b4017f027680f818ce1094f5010de010c0b,0,2010-02-04 05:59:19,5000000000,0.5,1Ha5sbMEUHM6Re8LFyGyLwQnAWB1emsZRK,pubkey,410487c0e40cdaeee19d794151f096840958e123274b588d224ffd09192dd25e294d60e50fb9c3c8d9e31233723b09e0ecdc8f6987c89a1b851f2b4c3e602c40aa66ac,1,1
38150,fd5e462fb76f66a2fab6bf2d489c191bffcd7dcc35067b7ab0f7a15d1d56c8f0,0,2010-02-04 06:01:02,5000000000,0.5,1MbHGudAANY3SEV7TbqqCxgVcnY2XpsqBX,pubkey,4104fa890f3fbb410efd85e91ddfeb8f7077e9790dc558b3400fab6d936e78a68cfb848e232645ca88852333fa0c55e1729454abc1674f680d5aeca01da330ef90c3ac,1,1
38151,93042f3c7d8cb2f8ea53d03451a44ab74360630037edad4168d3aa4cf59fba02,0,2010-02-04 06:02:14,5000000000,0.5,1Hq7hqT4rbdbEVoAHMgkPJVPu5iKPLppz6,pubkey,4104c33b7114c948879a66d9b64c38650a49cdbb5d998b457b0ae4002dd24cedce0ae254314da615e1d2ead9409e4b7bcbffa081bae655db61e0ea174486b0c2116eac,1,1
38152,f1f934cf40bb875d2bda4064b254a7675d3c0c69434ad82d6cef633c5444d0d6,0,2010-02-04 06:23:58,5000000000,0.5,16TaMzKnqudJWVf9ZWdWVrF4wwZfspxrEF,pubkey,4104c50820262927ecd477c5b4bfb7d2cf6006ac182bb697d2018e9845144c55f01e70a3b6402bb3efd195b7d9f977e62f570708511965742d69e26d9f37f1a58612ac,1,1
38153,6e39bde2df39ebe10fa6ed697ef237b53f6d594cbbb88c77d27c9d522602a5ad,0,2010-02-04 06:25:32,5000000000,0.5,1HhqT4aSLjSsXGfKkdJ8jH3579mQoBWaum,pubkey,41042dac0ca98afa00075499f75449963c1b4ec9ed7a763c7eb05f6491bd38242c42902c2b092b151eda610effdbc658fe1442de65650798ba99de7da883d2eedb08ac,1,1
38154,c17185a614c792e54d4ae7e1c0e60ff650e868bae4394265a58cc4434375d570,0,2010-02-04 06:28:03,5000000000,0.5,1AmoNaTGaLAd2TBqVkwsqtWQVkgM9XgdAe,pubkey,41049b40858deb7bf08cad7c11b80d6c8f34fd10b4d118fd3fb4d4d216ad910429fc474fa09a4be892eb7f5834f62d5865de3bfacacd50791ef884d87ec56edca850ac,1,1
38155,c032c39b902dc868a9224bdf515b7c9239ee766385a7cb347a2cbb4d0caf2d5f,0,2010-02-04 06:31:41,5000000000,0.5,133DG2cAjvsh7us7ctUMfzwVE3gcTjyUe4,pubkey,4104b33648e22dc6a2a125ad95eb207836a853def6a2073dcfe48da10ba54ca4de5f46d4c024d3720d03bc4bfc35bb4b6f31dcb4e3f19ebc04f6a02aa12747d54f6aac,1,1
38156,80ce2facd96fdbb31fe396df0c258be36be9f4b4d51a80e4eebf465dd35a45d7,0,2010-02-04 06:40:41,5000000000,0.5,1Pdh7knzGqsjVwh3zNTMmnLqKrLgxXJ55z,pubkey,4104b1c61c84f3cf0970e6c57b7d1ab1592830f021dfdf3f828d371fc230fce77c96193e49a880401bfd31b7a6c30bed078a9eed83ba8b9c5b13169a15fac3fa0332ac,1,1
38157,54c8966ffa9ce00727e675131f41dc431d98691660829ad992420f9a05190efa,0,2010-02-04 07:03:50,5000000000,0.5,1HN6yhDkfteku5MXQx8J8L8pkneqUzN6Cu,pubkey,41041eb19caf857181a90eea6982f4fc73094f5298139f50bcd11b5de99934c38eae98d3298cc67e92b27376a63df74b83e15a90382bd20f9c6d7652c69e3dbdf7e2ac,1,1
38158,f00b6f5494e05f15d5ac310b6a1006dcb1ec63945ee60cb4491808979e6f5a9f,0,2010-02-04 07:06:40,5000000000,0.5,1HzwtmhbcMySYT5mEhtSWTy9PteEYMCCSu,pubkey,4104c84d7c231e66be9c1d34caebca6ab55e633d214a8e07df34dd5f51c7dcb093bd0b339cb14aab4eea6ccc59403cc4d5d18cdd96eafe1703b501eb3fa03397aec4ac,1,1
38159,0eb83bf1241d261f3e9bdb79adebe312c3df81d66f051f6f30e9a34b7ebc3b42,0,2010-02-04 07:14:28,5000000000,0.5,1B1tTDeGnauzSHG1cAwESmgibYrAxbM1Qf,pubkey,4104a83c5fc5f0eb6e35af5818477938c247c85ed19bfadacef0077091676a7bec40520f965ada36ab9a0e9a3d8adf25e8c37e6bd2213bdd89a15ab9232b48887635ac,1,1
38160,1f60e774c951caf5f7279fe740f82b0dc6ba8998feafb2d356a2389c7a61208f,0,2010-02-04 07:24:12,5000000000,0.5,18xAoChCNUdfyfT3mVPaxzVQzhscb78tMS,pubkey,41045760dd3077811f0ae3e3b327417ced91821c3a950da7ff0ede08b76bdcd0880a34b8c66e0e45792a019240760c0aa91648d6d7852a46857b2ff3844638f6bcecac,1,1
38161,5db9133c3cc34f7b0d34685b57172112488e0ecfee44d9b09e82c62787cc65b7,0,2010-02-04 07:39:08,5000000000,0.5,17Wqi18Ke4EphMNrM7oxe7MUScc3D9jbJU,pubkey,4104b3bcda0df4dbdd6cd52ce17ae2112000d523ebc734cfc264fffb8b4041827a22b1d9fd130e7a3708fc5d54fb049955b314963742b76f99b00c8ad9933c00707dac,1,1
